English,Greek,Polish,Portuguese,Romanian
CHEESE,ΤΥΡΙ
HAM,ΖΑΜΠΟΝ
LETTUCE,ΜΑΡΟΥΛΙ
TOMATO,ΝΤΟΜΑΤΑ
COFFEE,ΚΑΦΕΣ
ICE,ΠΑΓΟΣ
MILK,ΓΑΛΑ
Let's Cook!,Ας Μαγειρέψουμε!
LANGUAGE,ΓΛΩΣΣΑ
LEVEL,ΕΠΙΠΕΔΟ
PLAY!,ΠΑΙΞΕ!
Counter,Πάγκου
Tent,Τέντας
Wall,Τοίχου
Cheese,Τυρί
Ham,Ζαμπόν
Lettuce,Μαρούλι
Tomato,Ντομάτα
Coffee,Καφές
Ice,Πάγος
Milk,Γάλα
BACK,ΠΙΣΩ
CHARACTER,ΧΑΡΑΚΤΗΡΑΣ
SOUND,ΗΧΟΣ
OPTIONS,ΡΥΘΜΙΣΕΙΣ
CHOICE,ΕΠΙΛΟΓΗ
CONTINUE,ΣΥΝΕΧΕΙΑ
CONGRATULATIONS!,ΣΥΓΧΑΡΗΤΗΡΙΑ!
EXIT,ΈΞΟΔΟΣ
BANANA,ΜΠΑΝΑΝΑ
CHOCOLATE,ΣΟΚΟΛΑΤΑ
CREAM,ΚΡΕΜΑ
STRAWBERRY,ΦΡΑΟΥΛΑ
Banana,Μπανάνα
Chocolate,Σοκολάτα
Cream,Κρέμα
Strawberry,Φράουλα
CABBAGE,ΛΑΧΑΝΟ
CARROT,ΚΑΡΟΤΟ
CUCUMBER,ΑΓΓΟΥΡΙ
ONION,ΚΡΕΜΜΥΔΙ
Cabbage,Λάχανο
Carrot,Καρότο
Cucumber,Αγγούρι
Onion,Κρεμμύδι
MAYONNAISE,ΜΑΓΙΟΝΕΖΑ
Mayonnaise,Μαγιονέζα
POTATO,ΠΑΤΑΤΑ
Potato,Πατάτα
CHOCOLATE SYRUP,ΣΙΡΟΠΙ ΣΟΚΟΛΑΤΑΣ
Chocolate Syrup,Σιρόπι Σοκολάτας
CARAMEL SYRUP,ΣΙΡΟΠΙ ΚΑΡΑΜΕΛΑΣ
Caramel Syrup,Σιρόπι Καραμέλας
PEANUT,ΦΥΣΤΙΚΙ
Peanut,Φυστίκι
NUT,ΚΑΡΥΔΙ
Nut,Καρύδι
CROUTON,ΚΡΟΥΤΟΝ
Crouton,Κρουτόν
KETCHUP,ΚΕΤΣΑΠ
Ketchup,Κέτσαπ
MUSTARD,ΜΟΥΣΤΑΡΔΑ
Mustard,Μουστάρδα
Napkins,Χαρτοπετσετών
INGREDIENTS,ΥΛΙΚΑ
Board,Πίνακα
Table,Τραπεζιού
Table Decoration,Διακόσμησης Τραπεζιού
Umbrella,Ομπρέλλας
Logo,Λογότυπου
INFO,ΠΛΗΡΟΦΟΡΙΕΣ
